PERMNO,date,EXCHCD,TICKER,COMNAM,PERMCO,DIVAMT,BIDLO,ASKHI,PRC,VOL,RET,SHROUT,OPENPRC,NUMTRD,RETX,sprtrn
59408,2022-07-07,1,BAC,BANK OF AMERICA CORP,3151,,31.47000,32.01000,31.86000,40137866,0.028405,8056881,31.50000,,0.028405,0.014965
59408,2022-07-08,1,BAC,BANK OF AMERICA CORP,3151,,31.56000,32.25000,31.79000,31153758,-0.002197,8056881,32.01000,,-0.002197,-0.000830
59408,2022-07-11,1,BAC,BANK OF AMERICA CORP,3151,,31.29000,31.79000,31.46000,29342283,-0.010381,8056881,31.55000,,-0.010381,-0.011527
59408,2022-07-12,1,BAC,BANK OF AMERICA CORP,3151,,30.98000,32.03000,31.36000,39527035,-0.003179,8056881,31.02000,,-0.003179,-0.009244
59408,2022-07-13,1,BAC,BANK OF AMERICA CORP,3151,,30.40000,31.14500,30.84000,44153699,-0.016582,8056881,31.07000,,-0.016582,-0.004457
59408,2022-07-14,1,BAC,BANK OF AMERICA CORP,3151,,29.67000,30.21500,30.13000,51707785,-0.023022,8056881,30.09000,,-0.023022,-0.002999
59408,2022-07-15,1,BAC,BANK OF AMERICA CORP,3151,,30.61000,32.63000,32.25000,77801694,0.070362,8056881,30.65000,,0.070362,0.019201
59408,2022-07-18,1,BAC,BANK OF AMERICA CORP,3151,,32.10500,33.38000,32.26000,56382923,0.000310,8056881,33.08000,,0.000310,-0.008364
59408,2022-07-19,1,BAC,BANK OF AMERICA CORP,3151,,32.68000,33.62000,33.35000,46874861,0.033788,8056881,32.90000,,0.033788,0.027628
59408,2022-07-20,1,BAC,BANK OF AMERICA CORP,3151,,32.95000,33.45000,33.36000,35514908,0.000300,8056881,33.18000,,0.000300,0.005896
59408,2022-07-21,1,BAC,BANK OF AMERICA CORP,3151,,32.95000,33.66500,33.65000,31243966,0.008693,8056881,33.09000,,0.008693,0.009861
