PERMNO,date,EXCHCD,TICKER_x,DIVAMT,BIDLO,ASKHI,PRC,VOL,RET,SHROUT,OPENPRC,NUMTRD,RETX,sprtrn,pe_exi,pe_inc,dpr,npm,gpm,roa,roe,debt_at,dltt_be,intcov_ratio,quick_ratio,curr_ratio,inv_turn,at_turn
21936,2023-05-26,1.0,PFE,0.0,37.5635,38.44,37.6,20234632.0,-0.00608,5619075.0,38.04,0.0,-0.00608,0.013049,7.484,7.484,0.311,0.312,0.704,0.206,0.322,0.194,0.353,27.935,1.178,1.404,2.862,0.475
21936,2023-05-30,1.0,PFE,0.0,36.92,37.36,37.01,24371098.0,-0.015691,5619075.0,37.36,0.0,-0.015691,1.7e-05,7.484,7.484,0.311,0.312,0.704,0.206,0.322,0.194,0.353,27.935,1.178,1.404,2.862,0.475
21936,2023-05-31,1.0,PFE,0.0,36.87,38.22,38.02,46166333.0,0.02729,5645307.0,37.1,0.0,0.02729,-0.006109,7.484,7.484,0.311,0.312,0.704,0.206,0.322,0.194,0.353,27.935,1.178,1.404,2.862,0.475
21936,2023-06-01,1.0,PFE,0.0,37.7,38.21,38.02,20256137.0,0.0,5645307.0,38.12,0.0,0.0,0.009854,7.22,7.22,0.311,0.312,0.704,0.206,0.322,0.194,0.353,27.935,1.178,1.404,2.862,0.475
21936,2023-06-02,1.0,PFE,0.0,38.16,38.66,38.36,22736353.0,0.008943,5645307.0,38.25,0.0,0.008943,0.014534,7.22,7.22,0.311,0.312,0.704,0.206,0.322,0.194,0.353,27.935,1.178,1.404,2.862,0.475
21936,2023-06-05,1.0,PFE,0.0,38.34,39.015,38.65,19785267.0,0.00756,5645307.0,38.48,0.0,0.00756,-0.002004,7.22,7.22,0.311,0.312,0.704,0.206,0.322,0.194,0.353,27.935,1.178,1.404,2.862,0.475
21936,2023-06-06,1.0,PFE,0.0,38.2932,38.86,38.37,19508225.0,-0.007245,5645307.0,38.81,0.0,-0.007245,0.002354,7.22,7.22,0.311,0.312,0.704,0.206,0.322,0.194,0.353,27.935,1.178,1.404,2.862,0.475
21936,2023-06-07,1.0,PFE,0.0,38.13,39.06,38.89,25295133.0,0.013552,5645307.0,38.35,0.0,0.013552,-0.003812,7.22,7.22,0.311,0.312,0.704,0.206,0.322,0.194,0.353,27.935,1.178,1.404,2.862,0.475
21936,2023-06-08,1.0,PFE,0.0,38.73,39.19,39.09,17353721.0,0.005143,5645307.0,39.04,0.0,0.005143,0.006189,7.22,7.22,0.311,0.312,0.704,0.206,0.322,0.194,0.353,27.935,1.178,1.404,2.862,0.475
21936,2023-06-09,1.0,PFE,0.0,38.8727,39.59,38.97,19777462.0,-0.00307,5645307.0,39.28,0.0,-0.00307,0.001148,7.22,7.22,0.311,0.312,0.704,0.206,0.322,0.194,0.353,27.935,1.178,1.404,2.862,0.475
21936,2023-06-12,1.0,PFE,0.0,38.99,40.065,39.9,28340776.0,0.023865,5645307.0,39.01,0.0,0.023865,0.009321,7.22,7.22,0.311,0.312,0.704,0.206,0.322,0.194,0.353,27.935,1.178,1.404,2.862,0.475
21936,2023-06-13,1.0,PFE,0.0,39.45,40.365,40.28,26533763.0,0.009524,5645307.0,39.67,0.0,0.009524,0.006933,7.22,7.22,0.311,0.312,0.704,0.206,0.322,0.194,0.353,27.935,1.178,1.404,2.862,0.475
21936,2023-06-14,1.0,PFE,0.0,39.315,40.34,39.36,22056424.0,-0.02284,5645307.0,40.32,0.0,-0.02284,0.000819,7.22,7.22,0.311,0.312,0.704,0.206,0.322,0.194,0.353,27.935,1.178,1.404,2.862,0.475
21936,2023-06-15,1.0,PFE,0.0,39.28,39.83,39.75,19905906.0,0.009909,5645307.0,39.41,0.0,0.009909,0.012178,7.22,7.22,0.311,0.312,0.704,0.206,0.322,0.194,0.353,27.935,1.178,1.404,2.862,0.475
21936,2023-06-16,1.0,PFE,0.0,39.845,40.36,40.06,60338565.0,0.007799,5645307.0,39.86,0.0,0.007799,-0.003672,7.22,7.22,0.311,0.312,0.704,0.206,0.322,0.194,0.353,27.935,1.178,1.404,2.862,0.475
21936,2023-06-20,1.0,PFE,0.0,39.33,39.87,39.34,26881166.0,-0.017973,5645307.0,39.71,0.0,-0.017973,-0.004735,7.22,7.22,0.311,0.312,0.704,0.206,0.322,0.194,0.353,27.935,1.178,1.404,2.862,0.475
21936,2023-06-21,1.0,PFE,0.0,38.76,39.24,38.9,17982944.0,-0.011185,5645307.0,39.2,0.0,-0.011185,-0.005245,7.22,7.22,0.311,0.312,0.704,0.206,0.322,0.194,0.353,27.935,1.178,1.404,2.862,0.475
21936,2023-06-22,1.0,PFE,0.0,38.41,38.986,38.73,18047000.0,-0.00437,5645307.0,38.94,0.0,-0.00437,0.003711,7.22,7.22,0.311,0.312,0.704,0.206,0.322,0.194,0.353,27.935,1.178,1.404,2.862,0.475
21936,2023-06-23,1.0,PFE,0.0,38.28,38.87,38.3,23492234.0,-0.011103,5645307.0,38.71,0.0,-0.011103,-0.007659,7.22,7.22,0.311,0.312,0.704,0.206,0.322,0.194,0.353,27.935,1.178,1.404,2.862,0.475
21936,2023-06-26,1.0,PFE,0.0,36.16,37.05,36.89,56135475.0,-0.036815,5645307.0,37.015,0.0,-0.036815,-0.004487,7.22,7.22,0.311,0.312,0.704,0.206,0.322,0.194,0.353,27.935,1.178,1.404,2.862,0.475
21936,2023-06-27,1.0,PFE,0.0,36.28,37.0,36.42,32414946.0,-0.012741,5645307.0,36.96,0.0,-0.012741,0.011456,7.22,7.22,0.311,0.312,0.704,0.206,0.322,0.194,0.353,27.935,1.178,1.404,2.862,0.475
21936,2023-06-28,1.0,PFE,0.0,36.0334,36.54,36.29,30061996.0,-0.003569,5645307.0,36.5,0.0,-0.003569,-0.000354,7.22,7.22,0.311,0.312,0.704,0.206,0.322,0.194,0.353,27.935,1.178,1.404,2.862,0.475
21936,2023-06-29,1.0,PFE,0.0,35.76,36.22,36.12,26284883.0,-0.004685,5645307.0,35.99,0.0,-0.004685,0.004474,7.22,7.22,0.311,0.312,0.704,0.206,0.322,0.194,0.353,27.935,1.178,1.404,2.862,0.475
21936,2023-06-30,1.0,PFE,0.0,36.14,36.75,36.68,30867939.0,0.015504,5645307.0,36.21,0.0,0.015504,0.012269,7.22,7.22,0.311,0.312,0.704,0.206,0.322,0.194,0.353,27.935,1.178,1.404,2.862,0.475
21936,2023-07-03,1.0,PFE,0.0,36.35,36.745,36.65,14115809.0,-0.000818,5645307.0,36.5,0.0,-0.000818,0.001171,7.098,7.098,0.311,0.312,0.704,0.206,0.322,0.194,0.353,27.935,1.178,1.404,2.862,0.475
21936,2023-07-05,1.0,PFE,0.0,36.39,37.02,36.46,26829419.0,-0.005184,5645307.0,36.58,0.0,-0.005184,-0.001968,7.098,7.098,0.311,0.312,0.704,0.206,0.322,0.194,0.353,27.935,1.178,1.404,2.862,0.475
